Nr;Color;Sensor0;Red0;Green0;Blue0;Intensity0;Sensor1;Red1;Green1;Blue1;Intensity1
107916;Orange;0;17;19;14;5;1;32;33;26;2
107917;Orange;0;17;20;14;5;1;32;33;26;10
107918;Orange;0;17;20;14;5;1;32;33;26;10
107919;Orange;0;17;20;14;5;1;32;33;26;10
107920;Orange;0;17;20;14;5;1;32;32;26;10
107921;Orange;0;17;20;14;5;1;32;33;26;10
107922;Orange;0;17;19;14;5;1;32;33;26;10
107923;Orange;0;17;20;14;5;1;32;33;26;10
107924;Orange;0;17;20;14;5;1;32;33;26;14
107925;Orange;0;17;20;14;5;1;32;33;26;10
107926;Orange;0;17;20;14;5;1;32;33;26;10
107927;Orange;0;17;19;14;5;1;32;33;26;10
107928;Orange;0;17;19;14;5;1;32;33;26;10
107929;Orange;0;17;20;14;5;1;32;33;26;10
107930;Orange;0;17;20;14;5;1;32;33;26;10
107931;Orange;0;17;20;14;5;1;32;33;26;10
107932;Orange;0;17;20;14;5;1;32;33;26;10
107933;Orange;0;17;19;14;5;1;32;33;26;10
107934;Orange;0;17;20;14;5;1;32;33;26;10
107935;Orange;0;17;20;14;5;1;32;33;26;10
107936;Orange;0;17;19;14;5;1;32;33;26;10
107937;Orange;0;17;20;14;5;1;32;33;26;10
107938;Orange;0;17;20;14;5;1;32;33;26;10
107939;Orange;0;17;19;14;5;1;32;33;26;10
107940;Orange;0;17;20;14;5;1;32;32;26;10
107941;Orange;0;17;20;18;5;1;32;33;26;10
107942;Orange;0;17;20;14;5;1;32;33;26;10
107943;Orange;0;17;20;14;5;1;32;33;26;10
107944;Orange;0;17;19;14;5;1;32;35;26;10
107945;Orange;0;17;19;14;5;1;32;33;26;10
107946;Orange;0;17;19;14;5;1;32;33;26;10
107947;Orange;0;17;20;14;5;1;32;33;26;10
107948;Orange;0;17;19;14;5;1;32;33;26;10
107949;Orange;0;17;20;14;5;1;32;33;26;10
107950;Orange;0;17;19;14;5;1;32;32;26;10
107951;Orange;0;17;19;14;5;1;32;32;26;10
107952;Orange;0;17;19;14;5;1;32;39;26;10
107953;Orange;0;17;20;14;5;1;32;33;26;10
107954;Orange;0;17;20;14;5;1;32;33;26;10
107955;Orange;0;17;20;14;5;1;32;33;26;10
107956;Orange;0;17;20;14;5;1;32;33;26;10
107957;Orange;0;17;20;14;5;1;32;33;26;10
107958;Orange;0;17;19;14;5;1;32;32;26;10
107959;Orange;0;17;19;14;5;1;32;33;26;10
107960;Orange;0;17;20;14;5;1;32;33;26;10
107961;Orange;0;17;20;14;5;1;32;33;26;10
107962;Orange;0;17;20;14;5;1;32;33;26;10
107963;Orange;0;17;20;14;5;1;32;33;26;10
107964;Orange;0;17;19;14;5;1;32;32;26;10
107965;Orange;0;17;20;14;5;1;32;33;26;10
107966;Orange;0;17;19;14;5;1;32;33;26;10
107967;Orange;0;17;20;14;5;1;32;33;26;10
107968;Orange;0;17;20;14;5;1;32;33;26;10
107969;Orange;0;17;20;14;5;1;32;33;26;10
107970;Orange;0;17;20;14;5;1;32;33;26;10
107971;Orange;0;17;20;14;5;1;32;33;26;10
107972;Orange;0;17;20;14;5;1;32;33;26;10
107973;Orange;0;17;19;14;5;1;32;33;26;10
107974;Orange;0;17;19;15;5;1;32;32;26;10
107975;Orange;0;17;19;14;5;1;32;33;26;10
107976;Orange;0;17;20;14;5;1;32;33;26;10
107977;Orange;0;17;20;14;5;1;32;33;26;10
107978;Orange;0;17;19;14;5;1;32;33;26;10
107979;Orange;0;17;19;14;5;1;32;33;26;10
107980;Orange;0;17;20;14;5;1;32;33;26;10
107981;Orange;0;17;19;14;5;1;32;38;26;10
107982;Orange;0;17;20;14;5;1;32;32;26;10
107983;Orange;0;17;19;14;5;1;32;33;26;10
107984;Orange;0;17;20;14;5;1;32;32;26;10
107985;Orange;0;17;20;15;5;1;32;33;26;10
107986;Orange;0;17;20;14;5;1;32;33;26;10
107987;Orange;0;17;20;14;5;1;32;33;26;10
107988;Orange;0;17;19;14;5;1;32;33;26;10
107989;Orange;0;17;20;14;5;1;32;33;26;10
107990;Orange;0;17;20;14;5;1;32;33;26;10
107991;Orange;0;17;20;14;5;1;32;33;26;10
107992;Orange;0;17;20;15;5;1;32;33;26;10
107993;Orange;0;17;19;14;5;1;32;32;26;10
107994;Orange;0;17;20;14;5;1;32;32;26;10
107995;Orange;0;17;20;14;5;1;29;33;26;10
107996;Orange;0;17;20;14;5;1;32;33;27;10
107997;Orange;0;17;20;14;5;1;32;33;26;10
107998;Orange;0;17;20;14;5;1;32;33;26;10
107999;Orange;0;17;20;8;5;1;32;32;26;10
108000;Orange;0;17;19;14;5;1;32;33;26;10
108001;Orange;0;17;20;14;5;1;32;33;26;10
108002;Orange;0;17;20;14;5;1;32;33;26;10
108003;Orange;0;17;19;14;5;1;32;33;26;10
108004;Orange;0;17;19;14;5;1;32;33;26;10
108005;Orange;0;17;19;14;5;1;32;33;26;10
108006;Orange;0;17;20;14;5;1;32;33;26;10
108007;Orange;0;17;20;14;5;1;32;33;26;10
108008;Orange;0;17;20;14;5;1;32;33;26;10
108009;Orange;0;17;20;15;5;1;32;33;26;10
108010;Orange;0;17;20;14;5;1;32;33;26;10
108011;Orange;0;17;19;14;5;1;32;32;26;10
108012;Orange;0;17;19;14;5;1;32;32;26;10
108013;Orange;0;17;20;14;5;1;32;33;26;10
108014;Orange;0;17;20;14;5;1;32;33;26;10
108015;Orange;0;17;20;14;5;1;32;33;26;10
108016;Orange;0;17;20;14;5;1;32;33;26;10
108017;Orange;0;17;19;14;5;1;32;32;26;10
108018;Orange;0;17;20;14;5;1;32;33;26;10
108019;Orange;0;17;19;14;5;1;32;33;26;10
108020;Orange;0;17;20;14;5;1;32;33;26;10
108021;Orange;0;17;20;14;5;1;32;33;26;10
108022;Orange;0;17;20;14;5;1;32;33;26;10
108023;Orange;0;17;20;14;5;1;32;32;26;10
108024;Orange;0;17;20;14;5;1;32;33;26;10
108025;Orange;0;17;20;14;5;1;32;33;26;10
108026;Orange;0;17;20;14;5;1;32;33;26;10
108027;Orange;0;17;20;14;5;1;32;33;26;10
108028;Orange;0;17;20;14;5;1;32;33;26;10
108029;Orange;0;17;19;14;5;1;32;33;26;10
108030;Orange;0;17;19;14;5;1;32;32;26;10
108031;Orange;0;17;20;14;5;1;32;32;26;10
108032;Orange;0;17;19;14;5;1;32;33;26;10
108033;Orange;0;17;20;14;5;1;32;33;26;10
108034;Orange;0;17;20;14;5;1;32;33;26;10
108035;Orange;0;17;20;14;5;1;32;33;26;10
108036;Orange;0;17;20;14;5;1;32;33;26;10
108037;Orange;0;17;19;14;5;1;32;33;26;10
108038;Orange;0;17;19;14;5;1;32;33;26;10
108039;Orange;0;17;19;14;5;1;32;33;26;10
